image_idx,trialidx,fixations_count,found,sloc_fixation_index,search,distractor
1,1,1,TRUE,-1,0,0
2,2,1,TRUE,-1,0,0
3,3,1,TRUE,-1,0,0
4,4,4,TRUE,-1,0,0
5,5,1,TRUE,-1,0,0
6,6,1,TRUE,-1,0,0
7,7,1,TRUE,-1,0,0
8,8,1,TRUE,-1,0,0
9,9,2,TRUE,-1,0,0
10,10,1,TRUE,-1,0,0
11,11,1,TRUE,-1,0,0
12,12,1,TRUE,-1,0,0
13,13,2,TRUE,-1,0,0
14,14,1,TRUE,-1,0,0
15,15,5,TRUE,-1,0,0
16,16,3,TRUE,-1,0,0
17,17,1,TRUE,-1,0,0
18,18,2,TRUE,-1,0,0
19,19,1,TRUE,-1,0,0
20,20,1,TRUE,-1,0,0
21,21,2,TRUE,-1,0,0
22,22,1,TRUE,-1,0,0
23,23,1,TRUE,-1,0,0
24,24,2,TRUE,-1,0,0
25,25,1,TRUE,-1,0,0
26,26,1,TRUE,-1,0,0
27,27,1,TRUE,-1,0,0
28,28,1,TRUE,-1,0,0
29,29,2,TRUE,-1,0,0
30,30,1,TRUE,-1,0,0
31,31,1,TRUE,-1,0,0
32,32,1,TRUE,-1,0,0
33,33,1,TRUE,-1,0,0
34,34,1,TRUE,-1,0,0
35,35,2,TRUE,-1,0,0
36,36,4,TRUE,-1,0,0
37,37,1,TRUE,-1,0,0
38,38,2,TRUE,-1,0,0
39,39,1,TRUE,-1,0,0
40,40,1,TRUE,-1,0,0
41,41,1,TRUE,-1,0,0
42,42,2,TRUE,-1,0,0
43,43,1,TRUE,-1,0,0
44,44,2,TRUE,-1,0,0
45,45,2,TRUE,-1,0,0
46,46,1,TRUE,-1,0,0
47,47,1,TRUE,-1,0,0
48,48,3,TRUE,-1,0,0
49,49,1,TRUE,-1,0,0
50,50,1,TRUE,-1,0,0
51,51,1,TRUE,-1,0,0
52,52,1,TRUE,-1,0,0
53,53,2,TRUE,-1,0,0
54,54,2,TRUE,-1,0,0
55,55,2,TRUE,-1,0,0
56,56,1,TRUE,-1,0,0
57,57,1,TRUE,-1,0,0
58,58,1,TRUE,-1,0,0
59,59,1,TRUE,-1,0,0
60,60,1,TRUE,-1,0,0
61,61,4,TRUE,-1,0,0
62,62,1,TRUE,-1,0,0
63,63,1,TRUE,-1,0,0
64,64,2,TRUE,-1,0,0
65,65,2,TRUE,-1,0,0
66,66,1,TRUE,-1,0,0
67,67,2,TRUE,-1,0,0
68,68,1,TRUE,-1,0,0
69,69,1,TRUE,-1,0,0
70,70,1,TRUE,-1,0,0
71,71,3,TRUE,-1,0,0
72,72,2,TRUE,-1,0,0
73,73,1,TRUE,-1,0,0
74,74,2,TRUE,-1,0,0
75,75,2,TRUE,-1,0,0
76,76,2,TRUE,-1,0,0
77,77,3,TRUE,-1,0,0
78,78,1,TRUE,-1,0,0
79,79,1,TRUE,-1,0,0
80,80,2,TRUE,-1,0,0
81,81,1,TRUE,-1,0,0
82,82,1,TRUE,-1,0,0
83,83,1,TRUE,-1,0,0
84,84,1,TRUE,-1,0,0
85,85,5,TRUE,-1,0,0
86,86,1,TRUE,-1,0,0
87,87,1,TRUE,-1,0,0
88,88,1,TRUE,-1,0,0
89,89,1,TRUE,-1,0,0
90,90,1,TRUE,-1,0,0
91,91,3,TRUE,-1,0,0
92,92,1,TRUE,-1,0,0
93,93,1,TRUE,-1,0,0
94,94,1,TRUE,-1,0,0
95,95,2,TRUE,-1,0,0
96,96,1,TRUE,-1,0,0
97,97,3,TRUE,-1,0,0
98,98,4,TRUE,-1,0,0
99,99,5,TRUE,-1,0,0
100,100,1,TRUE,-1,0,0
101,101,1,TRUE,-1,0,0
102,102,2,TRUE,-1,0,0
103,103,3,TRUE,-1,0,0
104,104,1,TRUE,-1,0,0
105,105,2,TRUE,-1,0,0
106,106,4,TRUE,-1,0,0
107,107,4,TRUE,-1,0,0
108,108,3,TRUE,-1,0,0
109,109,1,TRUE,-1,0,0
110,110,1,TRUE,-1,0,0
111,111,1,TRUE,-1,0,0
112,112,1,TRUE,-1,0,0
113,113,1,TRUE,-1,0,0
114,114,1,TRUE,-1,0,0
115,115,1,TRUE,-1,0,0
116,116,1,TRUE,-1,0,0
117,117,3,TRUE,-1,0,0
118,118,2,TRUE,-1,0,0
119,119,1,TRUE,-1,0,0
120,120,1,TRUE,-1,0,0
121,121,1,TRUE,-1,0,0
122,122,3,TRUE,-1,0,0
123,123,1,TRUE,-1,0,0
124,124,2,TRUE,-1,0,0
125,125,1,TRUE,-1,0,0
126,126,1,TRUE,-1,0,0
127,127,1,TRUE,-1,0,0
128,128,2,TRUE,-1,0,0
129,129,1,TRUE,-1,0,0
130,130,1,TRUE,-1,0,0
131,131,1,TRUE,-1,0,0
132,132,1,TRUE,-1,0,0
133,133,2,TRUE,-1,0,0
134,134,1,TRUE,-1,0,0
135,135,1,TRUE,-1,0,0
136,136,2,TRUE,-1,0,0
137,137,1,TRUE,-1,0,0
138,138,3,TRUE,-1,0,0
